,nome,nota,diretor,ano,duracao,elenco
235,Piratas do Caribe: A Maldição do Pérola Negra,8.0,Gore Verbinski,2003,2h 23m,"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom']"
236,Os Incompreendidos,8.1,François Truffaut,1959,1h 39m,"['Jean-Pierre Léaud', 'Albert Rémy', 'Claire Maurier']"
237,Meu Pai e Meu Filho,8.2,Cagan Irmak,2005,1h 52m,"['Çetin Tekindor', 'Fikret Kuskan', 'Hümeyra']"
238,Quando Duas Mulheres Pecam,8.1,Ingmar Bergman,1966,1h 25m,"['Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook']"
239,O Ódio,8.1,Mathieu Kassovitz,1995,1h 38m,"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui']"
240,A Vida de Brian,8.0,Terry Jones,1979,1h 34m,"['Graham Chapman', 'John Cleese', 'Michael Palin']"
241,A Noviça Rebelde,8.1,Robert Wise,1965,2h 52m,"['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker']"
242,Aconteceu Naquela Noite,8.1,Frank Capra,1934,1h 45m,"['Clark Gable', 'Claudette Colbert', 'Walter Connolly']"
243,A Criada,8.1,Park Chan-wook,2016,2h 25m,"['Kim Min-hee', 'Ha Jung-woo', 'Cho Jin-woong']"
244,Gandhi,8.1,Richard Attenborough,1982,3h 11m,"['Ben Kingsley', 'John Gielgud', 'Rohini Hattangadi']"
245,Aladdin,8.0,Ron Clements,1992,1h 30m,"['Scott Weinger', 'Robin Williams', 'Linda Larkin']"
246,Histórias Cruzadas,8.1,Tate Taylor,2011,2h 26m,"['Emma Stone', 'Viola Davis', 'Octavia Spencer']"
247,A Bela e a Fera,8.0,Gary Trousdale,1991,1h 24m,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']"
248,Dança com Lobos,8.0,Kevin Costner,1990,3h 1m,"['Kevin Costner', 'Mary McDonnell', 'Graham Greene']"
249,Rififi,8.1,Jules Dassin,1955,1h 58m,"['Jean Servais', 'Carl Möhner', 'Robert Manuel']"
