,d_perg,pergunta,assunto,local,d_resp,resp,status
122,24/05/2022 às 14:58,taxas e valores ,[],Mogi das Cruzes - SP,,,Não respondida
123,24/05/2022 às 14:53,Cancelamento de plano e retirada da maquina,['Outro Tipo de produto/Serviço'],Cordeirópolis - SP,26/05/2022 às 15:14,"Olá Marcos,Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Realizamos o contato no dia 24/05/2022 ás 15h06, 25/05/2022 ás 13h26 26/05/2022 ás 10h13 e 26/05/2022 ás 15h10, pelo telefone(s) citados na reclamação, além, de encaminharmos mensagens privadas para tratar sua reclamação, porém, não obtivemos sucesso. Estamos à disposição para auxiliar! Por gentileza, ao visualizar esta mensagem utilize o campo “Responder Empresa”, em seu e-mail para entrar em contato conosco.Abraços,CamilaEquipe Cielo",Respondida
124,24/05/2022 às 14:52,Máquinas cielo,[],Diadema - SP,,,Não respondida
125,24/05/2022 às 14:29,Omitem informações de faturamento para cobrar taxa de aluguel,"['Financeiras', 'Divergência de valores']",Tatuí - SP,27/05/2022 às 01:43,"Olá Felipe.Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Referente a seu questionamento do site Cielo, verificamos que os valores da meta de faturamento está correto. O valor de faturamento do estabelecimento não é o mesmo valor dos Recebíveis. Recebíveis é o valor que seu estabelecimento recebe e não quanto fatura. Para verificar o faturamento do mês você precisa ir em históricos de vendas.Hoje novamente consultamos em sistema e não há oferta disponível para seu estabelecimento. Qualquer pequena redução nas taxas resultaria no aumento do valor do aluguel e não ficaria viável para o senhor.Qualquer oferta que venha a surgir posteriormente o senhor será contatado.E ressaltamos novamente que motivo da alteração de taxas a partir de 23/04 é devido as mudanças de mercado e condições econômicas no Brasil.Analisamos a sua reclamação e levantamos que as alterações realizadas em seu cadastro seguem um padrão de movimentação do mercado. Devido algumas atualizações no cenário financeiro, haverá uma alteração geral dos parâmetros de taxas aplicadas, não sendo algo especifico do seu cadastro, tampouco da Cielo. Compreendemos o seu questionamento, entretanto, neste primeiro momento não temos outra forma de intervir e realizar a redução.Estamos à disposição para auxiliar em qualquer dúvida, as nossas centrais estão prontas para atende-lo (a) no canal que desejar:• Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).• Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/).A sua avaliação para o o atendimento é primordial, contamos com você para medirmos o nosso objetivo, tratar você em primeiro lugar.“Nosso compromisso é com você na luta de todo dia. Fomos indicados ao Prêmio Reclame Aqui, que reconhece as empresas com melhor atendimento ao cliente no Brasil! Ajude a gente, acessando: https://premio.reclameaqui.com.br/votacao/meios-de-pagamento-eletronico/cielo/51/10495.Abraços,FelipeEquipe Cielo",Respondida
126,24/05/2022 às 14:26,Cobrança indevida ,['Outro Tipo de produto/Serviço'],Mauá - SP,24/05/2022 às 14:59,"Olá Michael,Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Conforme conversamos hoje, 24/05/2022 ás 14h56, já foi realizado em caráter de exceção o estorno dos valores mencionados pelo Chat do reclame aqui, onde em até 5 dias úteis ( a partir de 19/05/2022), o valor será creditado em conta. Sendo assim estamos encerrando sua manifestação e ficamos a disposição para auxilia-lo caso tenha alguma duvida.Abraços,CamilaEquipe Cielo",Respondida
127,24/05/2022 às 14:21,Cielo pior empresa ,['Outro Tipo de produto/Serviço'],Francisco Beltrão - PR,26/05/2022 às 08:29,"Olá Cintia!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Realizamos os contatos nos dias 24/05/2022 às 14h52min, 25/05/2022 às 10h, 25/05/2022 às 13h33min e 26/05/2022 às 08h28min pelo telefone citado na reclamação, além, de encaminharmos mensagens privadas para tratar sua reclamação, porém, não obtivemos sucesso. Estamos à disposição para auxiliar! Por gentileza, ao visualizar esta mensagem utilize o campo “Responder Empresa”, em seu e-mail para entrar em contato conosco.Abraços,RayaneEquipe Cielo",Respondida
128,24/05/2022 às 13:58,Descaso. Indiferença e descumprimento de contrato,"['Financeiras', 'Descumprimento de acordo']",São Paulo - SP,,,Não respondida
129,24/05/2022 às 13:11,Cancelamento sem sucesso,['Outro Tipo de produto/Serviço'],Joinville - SC,25/05/2022 às 14:44,"Olá Mateus,Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Concluímos o cancelamento de seu cadastro e informamos que não existe mais nenhum registro ativo vinculado ao seus dados junto a Cielo.A solicitação de retirada da máquina foi efetuada e será concluída em até 5 dias úteis. Pedimos que mantenha o equipamento no endereço informado junto com seus componentes.Reforçamos também que estamos à disposição para te ajudar com eventuais dúvidas por meio dos nossos canais de atendimento.•  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/)Abraços,TiphanieEquipe Cielo",Respondida
130,24/05/2022 às 12:47,Ligações de cobranças referente a aluguel de maquininha,"['Recuperadora de créditos-Cobranças', 'Cobrança indevida']",Suzano - SP,,,Não respondida
131,24/05/2022 às 12:30,Antecipação automática não solicitada/autorizada,"['Pagamentos eletrônicos', 'Estorno do valor pago']",Batatais - SP,25/05/2022 às 01:47,"Olá Monica!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Identificamos que a manifestação esta sendo tratado pela equipe da ouvidoria. Por a ouvidoria ja ter sido acionada, eles serao responsabilizados em te dar o retorno. Aguardar por gentileza o retorno da ouvidoria.Reforçamos também que estamos à disposição para te ajudar com eventuais dúvidas por meio dos nossos canais de atendimento.Abraços,Equipe Cielo",Respondida
