,d_perg,pergunta,assunto,local,d_resp,resp,status
171,23/05/2022 às 11:05,Dinheiro não pago ao vendedor ,"['Financeiras', 'Pagamento não localiado']",São Paulo - SP,25/05/2022 às 14:16,"Olá BárbaraPela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Conforme nosso contato, esclarecemos que a venda citada será paga de acordo com o vencimento das parcelas pois o seu cadastro não possui antecipação liberada. Devido a senhora possuir um cadastro e-commerce se faz necessário que tenha no mínimo 2 meses de faturamentos consecutivos para se tornar elegível ao serviço de antecipação, esse é um dos critérios da modalidade do cadastro. Ressaltamos que esta análise foi enviada por completo a seu e-mail, por conta de sigilo. Estamos à disposição para auxiliar em qualquer dúvida, as nossas centrais estão prontas para atende-lo (a) no canal que desejar: •  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/).A sua avaliação para o o atendimento é primordial, contamos com você para medirmos o nosso objetivo, tratar você em primeiro lugar.Abraços,TiphanieEquipe Cielo",Não resolvido
172,23/05/2022 às 11:02,Alteração de dados bancários mal realizada,"['Pagamentos eletrônicos', 'Dificuldade de cadastro']",Ribeirão Preto - SP,25/05/2022 às 12:01,"Olá Thiago, bom dia!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Tentei contato no dia 25/05 as 12:00, mas sem sucesso.As bandeiras compativeis com o banco nubank foram alteradas para o domicilio bancario solicitado com sucesso e ja validado eletronicamente com sucesso. Reforçamos também que estamos à disposição para te ajudar com eventuais dúvidas por meio dos nossos canais de atendimento.Abraços,AntonioEquipe Cielo",Respondida
173,23/05/2022 às 11:00,Negativa de extratos,"['Pagamentos eletrônicos', 'Mau atendimento no SAC']",SAO PAULO - SP,25/05/2022 às 11:22,"Olá Luciano, Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Como dito por contato telefônico, enviamos em seu e-mail pessoal o relatório de faturamento contábil de seus estabelecimentos, referente ao período disponível para extração de 01/2018 á 05/2022, com todas as vendas capturadas e as taxas de comissão lançada para cada venda. E também o relatório de recebimentos referente aos pagamentos de 01/2018 á 05/2022, com todos os créditos e débitos lançados.Qualquer dúvida, estamos à disposição.Atenciosamente,Rianne - Equipe Cielo",Respondida
174,23/05/2022 às 10:58,"Reclamação ignorada, problema não resolvido",['Outro Tipo de produto/Serviço'],Caraguatatuba - SP,,,Não respondida
175,23/05/2022 às 10:51,Diferenças nos recebíveis,"['Pagamentos eletrônicos', 'Mau atendimento no SAC']",RIO DE JANEIRO - RJ,26/05/2022 às 09:02,"Olá CarlosPela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Conforme solicitado encaminhamos para seu e-mail particular o detalhamento completo dos seus recebíveis e relatório dos gravames realizados na sua agenda financeira. Ressaltamos que esta análise foi enviada por completo a seu e-mail, por conta de sigilo. Estamos à disposição para auxiliar em qualquer dúvida, as nossas centrais estão prontas para atende-lo (a) no canal que desejar: •  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/).A sua avaliação para o o atendimento é primordial, contamos com você para medirmos o nosso objetivo, tratar você em primeiro lugar.Abraços,TiphanieEquipe Cielo",Respondida
176,23/05/2022 às 10:37,Negativa de extratos,"['Pagamentos eletrônicos', 'Mau atendimento no SAC']",RIO DE JANEIRO - RJ,23/05/2022 às 12:18,"Olá Manuel, Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Sua reclamação está sendo acompanhada pela postagem ID RA 143842451, onde estamos realizando a tratativa de seu caso pela mesma e para melhor atende-lo, será dada a tratativa e a resposta pela reclamação principal, onde nos colocamos a disposição para auxilia-lo em qualquer dúvida.Att,Felipe-Equipe Cielo",Respondida
177,23/05/2022 às 10:25,RECEBIVEL BLOQUEADO NO OPTIN,"['Pagamentos eletrônicos', 'RAV (Recebimento antecipado de vendas)']",Curitiba - PR,,,Não respondida
178,23/05/2022 às 10:06,Negativa de extratos,"['Pagamentos eletrônicos', 'Mau atendimento no SAC']",RIO DE JANEIRO - RJ,23/05/2022 às 12:14,"Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Sua reclamação está sendo acompanhada pela postagem ID RA XXXXXX, onde estamos realizando a tratativa de seu caso pela mesma e para melhor atende-lo, será dada a tratativa e a resposta pela reclamação principal, onde nos colocamos a disposição para auxilia-lo em qualquer dúvida.",Em réplica
179,23/05/2022 às 09:59,Aumento de aluguel sem aviso prévio,"['Pagamentos eletrônicos', 'Cobrança indevida']",Santa Bárbara dOeste - SP,,,Não respondida
180,23/05/2022 às 09:34,Negativa de extratos,"['Pagamentos eletrônicos', 'Mau atendimento no SAC']",RIO DE JANEIRO - RJ,23/05/2022 às 11:40,"Olá Manuel, Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Sua reclamação está sendo acompanhada pela postagem ID RA 143842451, onde estamos realizando a tratativa de seu caso pela mesma e para melhor atende-lo, será dada a tratativa e a resposta pela reclamação principal, onde nos colocamos a disposição para auxilia-lo em qualquer dúvida.Att,Felipe-Equipe Cielo",Respondida
181,23/05/2022 às 09:01,COBRANÇA INDEVIDA - NOVAMENTE!,"['Financeiras', 'Descumprimento de acordo']",Santo André - SP,,,Não respondida
182,23/05/2022 às 09:00,PROBLEMAS COM A CIELO ,['Outro Tipo de produto/Serviço'],Mata de São João - BA,24/05/2022 às 13:17,"Olá Flavia!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Realizamos os contatos nos dias 23/05/2022 às 09h28min, 23/05/2022 às 13h42min, 24/05/2022 às 09h26min e 24/05/2022 às 13h16min  pelo telefone citado na reclamação, além, de encaminharmos mensagens privadas para tratar sua reclamação, porém, não obtivemos sucesso. Estamos à disposição para auxiliar! Por gentileza, ao visualizar esta mensagem utilize o campo “Responder Empresa”, em seu e-mail para entrar em contato conosco.Abraços,RayaneEquipe Cielo",Respondida
183,23/05/2022 às 08:54,Negativa de extratos,"['Pagamentos eletrônicos', 'Mau atendimento no SAC']",RIO DE JANEIRO - RJ,27/05/2022 às 16:50,"Olá Manuel,Nós da Cielo acreditamos que a transparência é um dever recorrente, com isso, nada melhor que manter este lema, e esclarecermos cada ponto da sua reclamação. Ao trabalhar sua reclamação com nossa área comercial, recebemos a devolutiva referente ao extrato detalhado de vendas pelo período solicitado, e inclusive, disponibilizamos os mesmos em seu e-mail pessoal, por conta de sigilo.Caso identifique alguma divergência de valores, orientamos que verifique juntamente ao banco.Estamos à disposição para auxiliar em qualquer dúvida, as nossas centrais estão prontas para atende-lo (a) no canal que desejar:•  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/).Att,Felipe-Equipe Cielo",Respondida
184,23/05/2022 às 08:37,Estou recebendo uma cobrança indevida,['Outro Tipo de produto/Serviço'],Diadema - SP,,,Não respondida
185,23/05/2022 às 08:34,Venda negada pela Cielo,"['Cartão de crédito', 'Problemas na finalização da compra']",Mogi-Guaçu - SP,24/05/2022 às 16:44,"Olá Eduardo,Nós da Cielo acreditamos que a transparência é um dever recorrente, com isso, nada melhor que manter este lema, e esclarecermos cada ponto da sua reclamação. Conforme conversamos em 24/05/2022 ás 16h40, no telefone: (19) xxxxx-0638, ao trabalhar sua reclamação com nossa área comercial, verificamos e concluímos que a referida venda mencionada, foi liberada normalmente junto a equipe responsável, e inclusive, foi realizada a venda e aprovada sem mais problemas.Ressaltamos que esta análise foi enviada por completo a seu e-mail, dita também, pelo nosso contato via telefone.Estamos à disposição para auxiliar em qualquer dúvida, as nossas centrais estão prontas para atende-lo (a) no canal que desejar:•  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/).Att,Felipe-Equipe Cielo",Respondida
186,23/05/2022 às 07:03,Dinheiro retido,"['Conta', 'Cobrança indevida de tarifas']",Cidelândia - MA,24/05/2022 às 01:00,"Olá mayara!Esta manifestacao ja foi tratada no ID RA 143734445 aonde o teor da reclamação é o mesmo, mas segue novamentePela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Uma vez que aparece operação de gravame significa que houve alguma negociação/emprestimo que foi realizado com o banco ou outra instituicao financeira que comprometa os recebiveis na cielo. Nesse caso procurar a instituicao financeira negociada.Reforçamos também que estamos à disposição para te ajudar com eventuais dúvidas por meio dos nossos canais de atendimento.Abraços,Equipe Ciel",Respondida
187,22/05/2022 às 16:36,Cielo Mudou minhas Taxas e Cobrando Aluguel Absurdo,['Outro Tipo de produto/Serviço'],Rio de Janeiro - RJ,23/05/2022 às 14:43,"Olá Giovanni,Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Conforme conversamos em linha, identificamos referente a isenção em cadastros mencionados em e-mail pessoal onde realizamos as devidas correções e fechamentos de cadastro e encaminhamos em e-mail pessoal tratativa realizada em todos os estabelecimentos de CNPJ mencionados em manifestação.Estamos à disposição para auxiliar em qualquer dúvida, as nossas centrais estão prontas para atende-lo (a) no canal que desejar:•  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/).Abraços,NataliaEquipe Cielo",Respondida
188,22/05/2022 às 12:35,Cobrança Indevida,['Outro Tipo de produto/Serviço'],Belford Roxo - RJ,24/05/2022 às 13:15,"Olá Ana!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Realizamos os contatos nos dias 23/05/2022 às 08h50min, 23/05/2022 às 13h40min, 24/05/2022 às 09h24min e 24/05/2022 às 13h14min pelo telefone citado na reclamação, além, de encaminharmos mensagens privadas para tratar sua reclamação, porém, não obtivemos sucesso. Estamos à disposição para auxiliar! Por gentileza, ao visualizar esta mensagem utilize o campo “Responder Empresa”, em seu e-mail para entrar em contato conosco.Abraços,RayaneEquipe Cielo",Respondida
189,22/05/2022 às 09:00,Cobrança indevida,['Outro Tipo de produto/Serviço'],Brasília - DF,,,Não respondida
